SensoDuino log file created:
DATE: 2014/9/28
TIME:  0:13:39
----------------------------
Magnetometer, 320, -7.300003,-20.0,-40.800003, 0
Orient, 321, 17.016714,-48.26278,3.916546, 0
RotVec, 322, 0.40141162,-0.08362218,-0.12458712, 3
AccLin, 323, -0.065713346,0.14624588,0.05373825, 3
Gravity, 324, 0.5011578,7.3202276,6.5113096, 3
Audio, 325, 258,,,99
Gyro, 326, 0.0031973913, 0.019185146,0.0074605793, 3
Accelerometer, 327, 0.5240602,7.340735,6.523135, 3
Magnetometer, 328, -7.300003,-19.40001,-41.0, 0
Orient, 329, 16.782797,-47.993286,4.179358, 0
RotVec, 330, 0.39930287,-0.08397376,-0.122276306, 3
AccLin, 331, -0.008532257,0.051343232,-0.020207977, 3
Gravity, 332, 0.5325925,7.2893915,6.543343, 3
Pres, 333, 1012.49,,,3
Audio, 334, 544,,,99
Gyro, 335, 0.087399356, -0.008526909,-0.021317273, 3
Accelerometer, 336, 0.55414766,7.238647,6.3535376, 3
Magnetometer, 337, -7.600006,-19.300003,-39.800003, 0
Orient, 338, 16.991413,-47.948265,4.1031795, 0
RotVec, 339, 0.39883998,-0.084182546,-0.12416878, 3
AccLin, 340, 0.03173401,-0.04565506,-0.1963916, 3
Gravity, 341, 0.5224136,7.284302,6.549929, 3
Pres, 342, 1012.55,,,3
Audio, 343, 328,,,99
Gyro, 344, 0.07460926, 0.09166281,0.030909447, 3
Accelerometer, 345, 0.54636383,7.2064643,6.365962, 3
Magnetometer, 346, -7.199997,-19.5,-40.800003, 0
Orient, 347, 16.215471,-48.22957,4.4447207, 0
RotVec, 348, 0.40143335,-0.08391173,-0.11686376, 3
AccLin, 349, -0.022303618,-0.11002121,-0.14415024, 3
Gravity, 350, 0.5686675,7.3164854,6.5101123, 3
Time, 351, 0,13,49, 3
GPS1, 352, 40.73983690235764, -73.5570222325623, 4.600006103515625, 10.0
GPS2, 352, 238.0, 0.2502, 1414469629000, 10.0
Pres, 353, 1012.45996,,,3
Audio, 354, 502,,,99
Gyro, 355, 0.06501655, 0.03304104,-0.023448868, 3
Accelerometer, 356, 0.6917116,7.252119,6.5349603, 3
Magnetometer, 357, -7.900009,-19.199997,-40.300003, 0
Orient, 358, 17.312113,-47.840256,5.086362, 0
RotVec, 359, 0.3971776,-0.09096893,-0.12416056, 3
AccLin, 360, 0.04445755,-0.019758912,-0.01751358, 3
Gravity, 361, 0.64725405,7.2718782,6.552474, 3
Pres, 362, 1012.44,,,3
Audio, 363, 562,,,99
Gyro, 364, 0.07780665, 0.12790178,0.046897203, 3
Accelerometer, 365, 0.067359924,7.2239776,6.3417125, 3
Magnetometer, 366, -7.199997,-19.800003,-40.100006, 0
Orient, 367, 15.818216,-48.565063,4.70042, 0
RotVec, 368, 0.40424004,-0.08452245,-0.11271697, 3
AccLin, 369, -0.5372328,-0.13052857,-0.121996306, 3
Gravity, 370, 0.60459274,7.354506,6.463709, 3
Pres, 371, 1012.39996,,,3
Audio, 372, 370,,,99
Gyro, 373, -0.067148946, -0.17266817,-0.023448868, 3
Accelerometer, 374, 0.5517526,7.3869886,6.5042744, 3
Magnetometer, 375, -7.800003,-19.300003,-40.199997, 0
Orient, 376, 16.063532,-48.079178,4.859432, 0
RotVec, 377, 0.40014488,-0.08563501,-0.1146788, 3
AccLin, 378, -0.06870712,0.08771759,-0.020357667, 3
Gravity, 379, 0.62045974,7.299271,6.524632, 3
Audio, 380, 467,,,99
Gyro, 381, 0.14921851, 0.027712055,-0.10445344, 3
Accelerometer, 382, 0.4646338,6.91023,6.5041246, 3
Magnetometer, 383, -7.600006,-19.0,-40.0, 0
Orient, 384, 16.439957,-48.01275,4.7354884, 0
RotVec, 385, 0.3994019,-0.08611252,-0.11805144, 3
AccLin, 386, -0.1393602,-0.38140687,-0.030536499, 3
Gravity, 387, 0.603994,7.291637,6.5346613, 3
Pres, 388, 1012.44,,,3
GPS1, 389, 40.73983912356198, -73.55702256783843, 4.600006103515625, 10.0
GPS2, 389, 238.0, 0.0, 1414469630000, 10.0
Time, 390, 0,13,50, 3
Audio, 391, 536,,,99
Gyro, 392, 0.023448335, 0.05542411,0.10978243, 3
Accelerometer, 393, 0.22707778,7.4558454,6.742878, 3
Magnetometer, 394, -7.299988,-19.600006,-40.600006, 0
Orient, 395, 16.032955,-48.53268,4.471582, 0
RotVec, 396, 0.40394253,-0.08386334,-0.11507058, 3
AccLin, 397, -0.3477269,0.104931794,0.2722838, 3
Gravity, 398, 0.57480466,7.3509135,6.4705944, 3
Pres, 399, 1012.38,,,3
Gyro, 400, -0.021317273, -0.09166361,-0.01279063, 3
Accelerometer, 401, 0.5625302,7.237899,6.369405, 3
Magnetometer, 402, -7.199997,-19.600006,-40.5, 0
Orient, 403, 15.683527,-48.660336,4.324651, 0
RotVec, 404, 0.40527683,-0.08192868,-0.11260331, 3
AccLin, 405, 0.0055384827,-0.1273851,-0.086220704, 3
Gravity, 406, 0.55699176,7.365284,6.4556255, 3
Audio, 407, 382,,,99
Gyro, 408, -0.034107372, 0.02557993,0.00959244, 3
Accelerometer, 409, 0.6030958,7.405999,6.3800325, 3
Magnetometer, 410, -7.099991,-19.600006,-40.300003, 0
Orient, 411, 16.171541,-48.258224,4.675386, 0
RotVec, 412, 0.40157083,-0.08517499,-0.11586231, 3
AccLin, 413, 0.0044906614,0.08637039,-0.123642884, 3
Gravity, 414, 0.5986052,7.3196287,6.5036755, 3
Pres, 415, 1012.49,,,3
Audio, 416, 310,,,99
Gyro, 417, 0.0031973913, 0.024514131,-0.0031979238, 3
Accelerometer, 418, 0.58213943,7.432494,6.807394, 3
Magnetometer, 419, -7.399994,-19.0,-40.300003, 0
Orient, 420, 16.136246,-48.079205,4.579261, 0
RotVec, 421, 0.40023413,-0.08421979,-0.11601263, 3
AccLin, 422, -0.0023950196,0.13322297,0.27946883, 3
Gravity, 423, 0.58453447,7.299271,6.527925, 3
Time, 424, 0,13,51, 3
Audio, 425, 454,,,99
Pres, 426, 1012.45996,,,3
Gyro, 427, -0.20784108, -0.34426975,-0.08953201, 3
Accelerometer, 428, 0.6399193,7.7896514,5.7996893, 3
Magnetometer, 429, -6.899994,-20.90001,-40.0, 0
Orient, 430, 16.389072,-50.49713,2.9218185, 0
RotVec, 431, 0.41999227,-0.07847387,-0.12054074, 3
AccLin, 432, 0.25372237,0.2203418,-0.4285588, 3
Gravity, 433, 0.3861969,7.5693097,6.228248, 3
Audio, 434, 852,,,99
Pres, 435, 1012.42,,,3
Gyro, 436, -0.16094388, -0.13429762,-0.011724833, 3
Accelerometer, 437, 0.37811372,7.174281,6.3987436, 3
Magnetometer, 438, -7.699997,-19.5,-40.699997, 0
Orient, 439, 16.95787,-48.399853,4.1520185, 0
RotVec, 440, 0.40239224,-0.08501743,-0.1233592, 3
AccLin, 441, -0.15432908,-0.16151413,-0.09250763, 3
Gravity, 442, 0.5324428,7.335795,6.4912515, 3
Audio, 443, 256,,,99
Pres, 444, 1012.44995,,,3
Gyro, 445, -0.06608315, -0.15028511,-0.005329518, 3
Accelerometer, 446, 0.8190967,7.801776,5.7526875, 3
Magnetometer, 447, -6.900009,-20.600006,-40.0, 0
Orient, 448, 16.787487,-49.903942,3.058504, 0
RotVec, 449, 0.4149932,-0.07996397,-0.12375176, 3
AccLin, 450, 0.4182303,0.29758117,-0.5528004, 3
Gravity, 451, 0.4008664,7.5041947,6.3054876, 3
GPS1, 452, 40.739847044460475, -73.5570261720568, 4.70001220703125, 10.0
GPS2, 452, 273.0, 0.5004, 1414469632000, 10.0
Audio, 453, 812,,,99
Pres, 454, 1012.39996,,,3
Gyro, 455, -0.17799717, -0.073543996,-0.006395315, 3
Accelerometer, 456, 0.50070876,7.314689,6.228847, 3
Magnetometer, 457, -7.900009,-19.100006,-40.5, 0
Orient, 458, 17.069094,-48.27308,4.4025025, 0
RotVec, 459, 0.40116426,-0.08671315,-0.12367201, 3
AccLin, 460, -0.062869266,-0.0067359926,-0.276026, 3
Gravity, 461, 0.563578,7.321425,6.5048733, 3
Time, 462, 0,13,52, 3
Audio, 463, 252,,,99
Pres, 464, 1012.44995,,,3
Gyro, 465, 0.058621503, -0.0842025,-0.028778385, 3
Accelerometer, 466, 0.80652285,7.6188564,6.57852, 3
Magnetometer, 467, -7.400009,-20.300003,-40.0, 0
Orient, 468, 17.152668,-49.26681,3.7548969, 0
RotVec, 469, 0.40929878,-0.084585406,-0.12520108, 3
AccLin, 470, 0.3186873,0.18531464,0.19579285, 3
Gravity, 471, 0.48783553,7.433542,6.382727, 3
Audio, 472, 430,,,99
Pres, 473, 1012.49,,,3
Gyro, 474, 0.02131674, 0.001065797,-0.03090998, 3
Accelerometer, 475, 0.6514453,7.415729,6.6581545, 3
